object,affordances
Table,assisted-carry
Table,rotate
Table,push
Table,pull
Table,support
Table,vertical-support
Coffee Table,carry
Coffee Table,assisted-carry
Coffee Table,rotate
Coffee Table,push
Coffee Table,pull
Coffee Table,support
Counter,support
Counter,vertical-support
Fork,grasp
Fork,carry
Fork,rotate
Fork,push
Fork,pull
Fork,scoop
Fork,stir
Fork,pierce
Fork,pick
Bread Knife,grasp
Bread Knife,stir
Bread Knife,carry
Bread Knife,cut
Bread Knife,rotate
Bread Knife,push
Bread Knife,pull
Spoon,grasp
Spoon,carry
Spoon,contain
Spoon,liquid-contain
Spoon,rotate
Spoon,push
Spoon,pull
Spatula,grasp
Spatula,carry
Spatula,rotate
Spatula,push
Spatula,pull
Spatula,scoop
Spatula,stir
Spatula,wrap-grasp
Kitchen Knife,grasp
Kitchen Knife,carry
Kitchen Knife,cut
Kitchen Knife,rotate
Kitchen Knife,push
Kitchen Knife,pull
Kitchen Knife,stir
Kitchen Knife,pierce
Kitchen Knife,pick
Scissors,grasp
Scissors,carry
Scissors,cut
Scissors,rotate
Scissors,push
Scissors,pull
Scissors,stir
Scissors,pierce
Scissors,pick
Bottle Opener,grasp
Bottle Opener,carry
Bottle Opener,rotate
Bottle Opener,push
Bottle Opener,pull
Bowl,grasp
Bowl,carry
Bowl,contain
Bowl,liquid-contain
Bowl,pour
Bowl,rotate
Bowl,axis-roll
Bowl,push
Bowl,pull
Bowl,stack
Bowl,scoop
Plate,grasp
Plate,carry
Plate,rotate
Plate,push
Plate,pull
Plate,support
Plate,stack
Cutting Board,grasp
Cutting Board,carry
Cutting Board,rotate
Cutting Board,push
Cutting Board,pull
Cutting Board,support
Cutting Board,stack
Cutting Board,sturdy-support
Coffee Cup,grasp
Coffee Cup,carry
Coffee Cup,contain
Coffee Cup,liquid-contain
Coffee Cup,pour
Coffee Cup,precise-pour
Coffee Cup,drink
Coffee Cup,rotate
Coffee Cup,push
Coffee Cup,pull
Coffee Cup,scoop
Glass,grasp
Glass,carry
Glass,contain
Glass,liquid-contain
Glass,pour
Glass,precise-pour
Glass,drink
Glass,rotate
Glass,push
Glass,pull
Glass,scoop
Glass,stack
Glass,axis-roll
Wine Glass,grasp
Wine Glass,carry
Wine Glass,contain
Wine Glass,liquid-contain
Wine Glass,pour
Wine Glass,precise-pour
Wine Glass,drink
Wine Glass,rotate
Wine Glass,push
Wine Glass,pull
Wine Glass,scoop
Plastic Cup,grasp
Plastic Cup,carry
Plastic Cup,contain
Plastic Cup,liquid-contain
Plastic Cup,pour
Plastic Cup,precise-pour
Plastic Cup,drink
Plastic Cup,rotate
Plastic Cup,push
Plastic Cup,pull
Plastic Cup,scoop
Plastic Cup,stack
Plastic Cup,axis-roll
Can,grasp
Can,carry
Can,contain
Can,liquid-contain
Can,enclosed-contain
Can,pour
Can,precise-pour
Can,rotate
Can,axis-roll
Can,push
Can,pull
Can,open
Can,stack
Can,scoop
Bottle,grasp
Bottle,carry
Bottle,contain
Bottle,liquid-contain
Bottle,enclosed-contain
Bottle,pour
Bottle,precise-pour
Bottle,drink
Bottle,rotate
Bottle,axis-roll
Bottle,push
Bottle,pull
Bottle,open
Bottle,close
Bucket,grasp
Bucket,carry
Bucket,contain
Bucket,liquid-contain
Bucket,pour
Bucket,rotate
Bucket,axis-roll
Bucket,push
Bucket,pull
Bucket,stack
Bucket,scoop
Basket,grasp
Basket,carry
Basket,contain
Basket,rotate
Basket,axis-roll
