object,affordances
table,assisted-carry
table,rotate
table,push
table,pull
table,support
table,vertical-support
coffee_table,carry
coffee_table,assisted-carry
coffee_table,rotate
coffee_table,push
coffee_table,pull
coffee_table,support
counter,support
counter,vertical-support
fork,grasp
fork,carry
fork,rotate
fork,push
fork,pull
fork,scoop
fork,stir
fork,pierce
fork,pick
bread_knife,grasp
bread_knife,stir
bread_knife,carry
bread_knife,cut
bread_knife,rotate
bread_knife,push
bread_knife,pull
spoon,grasp
spoon,carry
spoon,contain
spoon,liquid-contain
spoon,rotate
spoon,push
spoon,pull
spatula,grasp
spatula,carry
spatula,rotate
spatula,push
spatula,pull
spatula,scoop
spatula,stir
spatula,wrap-grasp
kitchen_knife,grasp
kitchen_knife,carry
kitchen_knife,cut
kitchen_knife,rotate
kitchen_knife,push
kitchen_knife,pull
kitchen_knife,stir
kitchen_knife,pierce
kitchen_knife,pick
scissors,grasp
scissors,carry
scissors,cut
scissors,rotate
scissors,push
scissors,pull
scissors,stir
scissors,pierce
scissors,pick
bottle_opener,grasp
bottle_opener,carry
bottle_opener,rotate
bottle_opener,push
bottle_opener,pull
bowl,grasp
bowl,carry
bowl,contain
bowl,liquid-contain
bowl,pour
bowl,rotate
bowl,axis-roll
bowl,push
bowl,pull
bowl,stack
bowl,scoop
plate,grasp
plate,carry
plate,rotate
plate,push
plate,pull
plate,support
plate,stack
cutting_board,grasp
cutting_board,carry
cutting_board,rotate
cutting_board,push
cutting_board,pull
cutting_board,support
cutting_board,stack
cutting_board,sturdy-support
coffee_cup,grasp
coffee_cup,carry
coffee_cup,contain
coffee_cup,liquid-contain
coffee_cup,pour
coffee_cup,precise-pour
coffee_cup,drink
coffee_cup,rotate
coffee_cup,push
coffee_cup,pull
coffee_cup,scoop
glass,grasp
glass,carry
glass,contain
glass,liquid-contain
glass,pour
glass,precise-pour
glass,drink
glass,rotate
glass,push
glass,pull
glass,scoop
glass,stack
glass,axis-roll
wine_glass,grasp
wine_glass,carry
wine_glass,contain
wine_glass,liquid-contain
wine_glass,pour
wine_glass,precise-pour
wine_glass,drink
wine_glass,rotate
wine_glass,push
wine_glass,pull
wine_glass,scoop
plastic_cup,grasp
plastic_cup,carry
plastic_cup,contain
plastic_cup,liquid-contain
plastic_cup,pour
plastic_cup,precise-pour
plastic_cup,drink
plastic_cup,rotate
plastic_cup,push
plastic_cup,pull
plastic_cup,scoop
plastic_cup,stack
plastic_cup,axis-roll
can,grasp
can,carry
can,contain
can,liquid-contain
can,enclosed-contain
can,pour
can,precise-pour
can,rotate
can,axis-roll
can,push
can,pull
can,open
can,stack
can,scoop
bottle,grasp
bottle,carry
bottle,contain
bottle,liquid-contain
bottle,enclosed-contain
bottle,pour
bottle,precise-pour
bottle,drink
bottle,rotate
bottle,axis-roll
bottle,push
bottle,pull
bottle,open
bottle,close
bucket,grasp
bucket,carry
bucket,contain
bucket,liquid-contain
bucket,pour
bucket,rotate
bucket,axis-roll
bucket,push
bucket,pull
bucket,stack
bucket,scoop
basket,grasp
basket,carry
basket,contain
basket,rotate
basket,axis-roll
basket,push
basket,pull
basket,stack
sink,contain
sink,liquid-contain
sink,support
dishwasher,assisted-carry
dishwasher,contain
dishwasher,liquid-contain
dishwasher,constrained-move
dishwasher,push
dishwasher,pull
dishwasher,open
dishwasher,close
dishwasher,support
microwave,carry
microwave,assisted-carry
microwave,contain
microwave,rotate
microwave,push
microwave,pull
microwave,open
microwave,close
