object,affordances
Table,support
Table,wrap-grasp
Coffee Table,support
Coffee Table,wrap-grasp
Counter,support
Fork,grasp
Fork,scoop
Fork,wrap-grasp
Bread Knife,grasp
Bread Knife,cut
Bread Knife,wrap-grasp
Spoon,grasp
Spoon,contain
Spoon,scoop
Spoon,wrap-grasp
Spatula,grasp
Spatula,scoop
Spatula,wrap-grasp
Kitchen Knife,grasp
Kitchen Knife,cut
Kitchen Knife,wrap-grasp
Scissors,grasp
Scissors,cut
Scissors,wrap-grasp
Bottle Opener,grasp
Bottle Opener,wrap-grasp
Bowl,grasp
Bowl,contain
Bowl,scoop
Bowl,wrap-grasp
Plate,grasp
Plate,support
Plate,wrap-grasp
Cutting Board,grasp
Cutting Board,support
Cutting Board,wrap-grasp
Coffee Cup,grasp
Coffee Cup,contain
Coffee Cup,scoop
Coffee Cup,wrap-grasp
Glass,grasp
Glass,contain
Glass,scoop
Glass,wrap-grasp
Wine Glass,grasp
Wine Glass,contain
Wine Glass,scoop
Wine Glass,wrap-grasp
Plastic Cup,grasp
Plastic Cup,contain
Plastic Cup,scoop
Plastic Cup,wrap-grasp
Can,grasp
Can,contain
Can,scoop
Can,wrap-grasp
Bottle,grasp
Bottle,contain
Bottle,wrap-grasp
Bucket,grasp
Bucket,contain
Bucket,scoop
Bucket,wrap-grasp
Basket,grasp
Basket,contain
Basket,wrap-grasp
Basket,scoop
Sink,contain
Sink,support
Sink,wrap-grasp
Dishwasher,contain
Dishwasher,support
Dishwasher,wrap-grasp
Microwave,contain
Microwave,support
Microwave,wrap-grasp
Oven,contain
Oven,support
Oven,wrap-grasp
Stove,support
Plant,grasp
Plant,wrap-grasp
Watering Can,grasp
Watering Can,contain
Watering Can,wrap-grasp
Apple,grasp
Apple,wrap-grasp
Banana,grasp
Banana,wrap-grasp
Salad,grasp
Orange,grasp
Orange,wrap-grasp
Tomato,grasp
Tomato,wrap-grasp
Cucumber,grasp
Cucumber,wrap-grasp
Milk Cartoon,grasp
Milk Cartoon,contain
Milk Cartoon,wrap-grasp
Cornflakes,grasp
Cornflakes,wrap-grasp
Tape,grasp
Tape,wrap-grasp
Hammer,grasp
Hammer,pound
Hammer,wrap-grasp
Screw,grasp
Screw,wrap-grasp
Nail,grasp
Nail,wrap-grasp
Stapler,grasp
Stapler,wrap-grasp
Book,grasp
Book,support
Book,wrap-grasp
Remote,grasp
Remote,wrap-grasp
Chair,grasp
Chair,wrap-grasp
Chair,support
Desk,support
Desk,wrap-grasp
PC,support
Keyboard,grasp
Keyboard,wrap-grasp
Screwdriver,grasp
Screwdriver,wrap-grasp
Sponge,grasp
Sponge,wrap-grasp
Cloth,grasp
Cloth,wrap-grasp
Broom,grasp
Broom,wrap-grasp
Hand Brush,grasp
Hand Brush,wrap-grasp
Towel,grasp
Towel,wrap-grasp
Paper Towel,grasp
Paper Towel,wrap-grasp
Pan,grasp
Pan,contain
Pan,support
Pan,scoop
Pan,wrap-grasp
Pot,grasp
Pot,contain
Pot,scoop
Pot,wrap-grasp
Box,grasp
Box,contain
Box,support
Box,wrap-grasp
Door,grasp
Door,wrap-grasp
Window,grasp
Window,wrap-grasp
Bench,support
Bench,wrap-grasp
Couch,support
Stool,grasp
Stool,wrap-grasp
Stool,support
Refrigerator,contain
Refrigerator,support
Refrigerator,wrap-grasp
Tea Pot,wrap-grasp
Tablet,grasp
Tablet,support
Tablet,wrap-grasp
Mop,grasp
Mop,wrap-grasp
Monitor,grasp
Monitor,wrap-grasp
Tissue,grasp
Tissue,wrap-grasp
Tea Pot,grasp
Tea Pot,contain
Tea Pot,wrap-grasp
Tea Pot,scoop
Vase,grasp
Vase,contain
Vase,wrap-grasp
Vase,scoop
