object,affordances
Chopsticks,grasp
Chopsticks,carry
Chopsticks,rotate
Chopsticks,push
Chopsticks,pull
Chopsticks,stir
Wall clock,grasp
Wall clock,carry
Wall clock,rotate
Wall clock,push
Wall clock,pull
Wall clock,constrained-move
Door,grasp
Door,carry
Door,assisted-carry
Door,constrained-move
Door,rotate
Door,push
Door,pull
Door,open
Door,close
Door,vertical-support
Can opener,grasp
Can opener,carry
Can opener,cut
Can opener,rotate
Can opener,push
Can opener,pull
Coffee cup,grasp
Coffee cup,carry
Coffee cup,contain
Coffee cup,liquid-contain
Coffee cup,pour
Coffee cup,drink
Coffee cup,rotate
Coffee cup,push
Coffee cup,pull
Coffee cup,precise-pour
Coffee cup,scoop
Vase,grasp
Vase,carry
Vase,assisted-carry
Vase,contain
Vase,pour
Vase,liquid-contain
Vase,rotate
Vase,push
Vase,pull
Slow cooker,grasp
Slow cooker,carry
Slow cooker,contain
Slow cooker,rotate
Slow cooker,liquid-contain
Slow cooker,enclosed-contain
Slow cooker,push
Slow cooker,pull
Slow cooker,open
Slow cooker,close
Slow cooker,heat
Slow cooker,heat-resistance
Whisk,grasp
Whisk,carry
Whisk,stir
Whisk,rotate
Whisk,push
Whisk,pull
Door handle,grasp
Door handle,constrained-move
Door handle,rotate
Door handle,push
Door handle,pull
Door handle,carry
Mixing bowl,grasp
Mixing bowl,carry
Mixing bowl,contain
Mixing bowl,liquid-contain
Mixing bowl,pour
Mixing bowl,rotate
Mixing bowl,push
Mixing bowl,pull
Mixing bowl,stack
Drinking straw,grasp
Drinking straw,carry
Drinking straw,drink
Drinking straw,rotate
Drinking straw,axis-roll
Drinking straw,push
Drinking straw,pull
Refrigerator,grasp
Refrigerator,assisted-carry
Refrigerator,contain
Refrigerator,enclosed-contain
Refrigerator,rotate
Refrigerator,open
Refrigerator,close
Refrigerator,push
Refrigerator,pull
Cocktail shaker,grasp
Cocktail shaker,carry
Cocktail shaker,contain
Cocktail shaker,liquid-contain
Cocktail shaker,enclosed-contain
Cocktail shaker,pour
Cocktail shaker,precise-pour
Cocktail shaker,rotate
Cocktail shaker,axis-roll
Cocktail shaker,push
Cocktail shaker,pull
Cocktail shaker,open
Cocktail shaker,close
Bottle,grasp
Bottle,carry
Bottle,contain
Bottle,liquid-contain
Bottle,enclosed-contain
Bottle,pour
Bottle,precise-pour
Bottle,drink
Bottle,rotate
Bottle,axis-roll
Bottle,push
Bottle,pull
Bottle,open
Bottle,close
Plate (tableware),grasp
Plate (tableware),carry
Plate (tableware),rotate
Plate (tableware),push
Plate (tableware),pull
Plate (tableware),support
Plate (tableware),stack
Coffee table,grasp
Coffee table,carry
Coffee table,assisted-carry
Coffee table,rotate
Coffee table,support
Coffee table,push
Coffee table,pull
Coffee table,vertical-support
Television,grasp
Television,carry
Television,assisted-carry
Television,rotate
Television,push
Television,pull
Coffeemaker,grasp
Coffeemaker,carry
Coffeemaker,contain
Coffeemaker,liquid-contain
Coffeemaker,enclosed-contain
Coffeemaker,rotate
Coffeemaker,precise-pour
Coffeemaker,pour
Coffeemaker,push
Coffeemaker,pull
Coffeemaker,open
Coffeemaker,close
Coffeemaker,heat
Pizza cutter,grasp
Pizza cutter,carry
Pizza cutter,rotate
Pizza cutter,cut
Pizza cutter,axis-roll
Pizza cutter,push
Pizza cutter,pull
Countertop,support
Countertop,grasp
Countertop,assisted-carry
Countertop,rotate
Countertop,vertical-support
Countertop,push
Countertop,pull
Countertop,stack
Fork,grasp
Fork,carry
Fork,rotate
Fork,pull
Fork,push
Fork,stir
Fork,pierce
Fork,pick
Fork,scoop
Drawer,grasp
Drawer,carry
Drawer,constrained-move
Drawer,axis-roll
Drawer,assisted-carry
Drawer,contain
Drawer,rotate
Drawer,push
Drawer,pull
Drawer,stack
Drawer,open
Drawer,close
Shelf,grasp
Shelf,carry
Shelf,assisted-carry
Shelf,push
Shelf,pull
Shelf,rotate
Shelf,support
Shelf,contain
Watch,grasp
Watch,carry
Watch,rotate
Watch,push
Watch,pull
Kitchen knife,grasp
Kitchen knife,rotate
Kitchen knife,carry
Kitchen knife,cut
Kitchen knife,push
Kitchen knife,pull
Kitchen knife,pierce
Kitchen knife,pick
Kitchen & dining room table,assisted-carry
Kitchen & dining room table,support
Kitchen & dining room table,rotate
Kitchen & dining room table,push
Kitchen & dining room table,pull
Kitchen & dining room table,vertical-support
Cake stand,grasp
Cake stand,carry
Cake stand,rotate
Cake stand,support
Cake stand,stack
Cake stand,push
Cake stand,pull
Pressure cooker,grasp
Pressure cooker,carry
Pressure cooker,contain
Pressure cooker,liquid-contain
Pressure cooker,enclosed-contain
Pressure cooker,rotate
Pressure cooker,push
Pressure cooker,pull
Pressure cooker,open
Pressure cooker,close
Pressure cooker,heat
Pressure cooker,heat-resistance
