object,affordances
water_bottle,grasp
water_bottle,carry
water_bottle,contain
water_bottle,liquid-contain
water_bottle,enclosed-contain
water_bottle,pour
water_bottle,drink
water_bottle,rotate
water_bottle,axis-roll
water_bottle,push
water_bottle,pull
water_bottle,open
water_bottle,close
water_bottle,scoop
water_bottle,stir
food_packaging,grasp
food_packaging,carry
food_packaging,contain
food_packaging,enclosed-contain
food_packaging,rotate
food_packaging,push
food_packaging,pull
food_packaging,open
food_packaging,close
food_packaging,stack
food_packaging,stir
salt_packaging,grasp
salt_packaging,carry
salt_packaging,rotate
salt_packaging,push
salt_packaging,pull
salt_packaging,stack
sponge,grasp
sponge,carry
sponge,contain
sponge,rotate
sponge,axis-roll
sponge,push
sponge,pull
sponge,close
sponge,stack
sponge,wet-swipe
pan,grasp
pan,carry
pan,contain
pan,liquid-contain
pan,rotate
pan,push
pan,pull
pan,close
pan,support
pan,stack
pan,stir
pan,heat
pan,heat-resistance
screw_box,grasp
screw_box,carry
screw_box,assisted-carry
screw_box,contain
screw_box,enclosed-contain
screw_box,rotate
screw_box,push
screw_box,pull
screw_box,open
screw_box,close
screw_box,support
screw_box,stack
screw_box,contact-connect
screw_box,pierce
coffee_filter,grasp
coffee_filter,carry
coffee_filter,contain
coffee_filter,rotate
coffee_filter,axis-roll
coffee_filter,push
coffee_filter,pull
coffee_filter,open
coffee_filter,stack
coffee_machine,carry
coffee_machine,contain
coffee_machine,pour
coffee_machine,precise-pour
coffee_machine,rotate
coffee_machine,push
coffee_machine,pull
coffee_machine,open
coffee_machine,close
coffee_machine,heat
bowl,grasp
bowl,carry
bowl,contain
bowl,liquid-contain
bowl,rotate
bowl,axis-roll
bowl,push
bowl,pull
bowl,stack
bowl,stir
ladder,grasp
ladder,carry
ladder,assisted-carry
ladder,rotate
ladder,push
ladder,pull
ladder,support
ladder,vertical-support
plate,grasp
plate,carry
plate,rotate
plate,axis-roll
plate,push
plate,pull
plate,support
plate,stack
plate,sturdy-support
food_can,grasp
food_can,carry
food_can,contain
food_can,liquid-contain
food_can,enclosed-contain
food_can,pour
food_can,rotate
food_can,axis-roll
food_can,push
food_can,pull
food_can,open
food_can,support
food_can,stack
food_can,stir
soap,grasp
soap,carry
soap,enclosed-contain
soap,rotate
soap,push
soap,pull
soap,wet-swipe
spice_shaker,grasp
spice_shaker,carry
spice_shaker,contain
spice_shaker,rotate
spice_shaker,push
spice_shaker,pull
spice_shaker,open
spice_shaker,close
pot,grasp
pot,carry
pot,contain
pot,liquid-contain
pot,rotate
pot,push
pot,pull
pot,open
pot,close
pot,stack
pot,stir
probiotic_drink_box,grasp
probiotic_drink_box,carry
probiotic_drink_box,contain
probiotic_drink_box,liquid-contain
probiotic_drink_box,enclosed-contain
probiotic_drink_box,rotate
probiotic_drink_box,push
probiotic_drink_box,pull
probiotic_drink_box,open
probiotic_drink_box,close
probiotic_drink_box,stack
probiotic_drink_box,liquid
probiotic_drink_box,drinkable
probiotic_drink_box,consumable
coffee_filters,grasp
coffee_filters,carry
coffee_filters,contain
coffee_filters,rotate
coffee_filters,axis-roll
coffee_filters,push
coffee_filters,pull
coffee_filters,open
coffee_filters,stack
spraybottle,grasp
spraybottle,carry
spraybottle,contain
spraybottle,liquid-contain
spraybottle,enclosed-contain
spraybottle,rotate
spraybottle,push
spraybottle,pull
spraybottle,open
sugar_packaging,grasp
sugar_packaging,carry
sugar_packaging,rotate
sugar_packaging,axis-roll
sugar_packaging,push
sugar_packaging,pull
sugar_packaging,stir
coffee_cup,grasp
coffee_cup,carry
coffee_cup,contain
coffee_cup,liquid-contain
coffee_cup,pour
coffee_cup,drink
coffee_cup,rotate
coffee_cup,push
coffee_cup,pull
coffee_cup,open
coffee_cup,close
coffee_cup,stir
sauce_packaging,grasp
sauce_packaging,carry
sauce_packaging,contain
sauce_packaging,liquid-contain
sauce_packaging,enclosed-contain
sauce_packaging,pour
sauce_packaging,precise-pour
sauce_packaging,rotate
sauce_packaging,push
sauce_packaging,pull
sauce_packaging,open
sauce_packaging,close
coffee_box,grasp
coffee_box,carry
coffee_box,contain
coffee_box,rotate
coffee_box,push
coffee_box,pull
coffee_box,open
coffee_box,close
coffee_box,stack
dishwasher,contain
dishwasher,rotate
dishwasher,push
dishwasher,pull
dishwasher,open
dishwasher,close
dishwasher,support
dishwasher,heat
box,grasp
box,carry
box,assisted-carry
box,contain
box,enclosed-contain
box,rotate
box,push
box,pull
box,open
box,close
box,support
box,stack
oil_bottle,grasp
oil_bottle,carry
oil_bottle,contain
oil_bottle,liquid-contain
oil_bottle,enclosed-contain
oil_bottle,pour
oil_bottle,precise-pour
oil_bottle,rotate
oil_bottle,axis-roll
oil_bottle,push
oil_bottle,pull
oil_bottle,open
oil_bottle,close
oil_bottle,stir
toothpaste,grasp
toothpaste,carry
toothpaste,rotate
toothpaste,axis-roll
toothpaste,push
toothpaste,pull
whipped_cream,carry
whipped_cream,enclosed-contain
whipped_cream,rotate
whipped_cream,push
whipped_cream,pull
whipped_cream,drinkable
whipped_cream,consumable
grease,carry
grease,enclosed-contain
grease,rotate
grease,push
grease,pull
guard_support,grasp
guard_support,carry
guard_support,constrained-move
guard_support,rotate
guard_support,axis-roll
guard_support,push
guard_support,pull
guard_support,support
guard_support,vertical-support
cleaning_agent_bottle,grasp
cleaning_agent_bottle,carry
cleaning_agent_bottle,contain
cleaning_agent_bottle,liquid-contain
cleaning_agent_bottle,enclosed-contain
cleaning_agent_bottle,pour
cleaning_agent_bottle,rotate
cleaning_agent_bottle,push
cleaning_agent_bottle,pull
cleaning_agent_bottle,open
cleaning_agent_bottle,close
cleaning_agent_bottle,liquid
fridge,assisted-carry
fridge,contain
fridge,rotate
fridge,push
fridge,pull
fridge,open
fridge,close
fridge,vertical-support
fridge,heat
cable_ties,grasp
cable_ties,carry
cable_ties,rotate
cable_ties,push
cable_ties,pull
coke_bottle,grasp
