object,affordances
lime_soda,grasp
lime_soda,carry
lime_soda,contain
lime_soda,liquid-contain
lime_soda,enclosed-contain
lime_soda,pour
lime_soda,drink
lime_soda,rotate
lime_soda,axis-roll
lime_soda,push
lime_soda,pull
lime_soda,open
lime_soda,close
lime_soda,stir
rice_chips,grasp
rice_chips,carry
rice_chips,rotate
rice_chips,push
rice_chips,pull
rice_chips,consumable
counter,rotate
counter,support
counter,stack
counter,vertical-support
apple,grasp
apple,carry
apple,rotate
apple,axis-roll
apple,free-roll
apple,push
apple,pull
apple,consumable
drawer,grasp
drawer,carry
drawer,assisted-carry
drawer,contain
drawer,constrained-move
drawer,rotate
drawer,push
drawer,pull
drawer,open
drawer,close
trash_can,grasp
trash_can,carry
trash_can,contain
trash_can,rotate
trash_can,push
trash_can,pull
trash_can,open
trash_can,close
trash_can,stack
trash_can,vertical-support
red_bull,grasp
red_bull,carry
red_bull,contain
red_bull,liquid-contain
red_bull,pour
red_bull,drink
red_bull,rotate
red_bull,axis-roll
red_bull,push
red_bull,pull
red_bull,open
red_bull,stack
red_bull,stir
red_bull,consumable
pepsi,grasp
pepsi,carry
pepsi,contain
pepsi,liquid-contain
pepsi,pour
pepsi,drink
pepsi,rotate
pepsi,axis-roll
pepsi,push
pepsi,pull
pepsi,open
pepsi,close
pepsi,stack
pepsi,stir
coke,grasp
coke,carry
coke,contain
coke,liquid-contain
coke,pour
coke,drink
coke,rotate
coke,axis-roll
coke,push
coke,pull
coke,open
coke,close
coke,stack
coke,stir
coke,consumable
tea,grasp
tea,carry
tea,contain
tea,rotate
tea,axis-roll
tea,push
tea,pull
tea,liquid
tea,drinkable
tea,consumable
energy_bar,grasp
energy_bar,carry
energy_bar,rotate
energy_bar,axis-roll
energy_bar,push
energy_bar,pull
energy_bar,stack
energy_bar,consumable
sponge,grasp
sponge,carry
sponge,contain
sponge,rotate
sponge,axis-roll
sponge,push
sponge,pull
sponge,stack
sponge,wet-swipe
multigrain_chips,grasp
multigrain_chips,carry
multigrain_chips,rotate
multigrain_chips,push
multigrain_chips,pull
multigrain_chips,stack
multigrain_chips,consumable
table,assisted-carry
table,rotate
table,push
table,pull
table,support
table,vertical-support
7up,grasp
7up,carry
7up,contain
7up,liquid-contain
7up,enclosed-contain
7up,pour
7up,drink
7up,rotate
7up,axis-roll
7up,push
7up,pull
7up,open
7up,close
7up,stir
7up,drinkable
grapefruit_soda,grasp
grapefruit_soda,carry
grapefruit_soda,contain
grapefruit_soda,liquid-contain
grapefruit_soda,pour
grapefruit_soda,drink
grapefruit_soda,rotate
grapefruit_soda,axis-roll
grapefruit_soda,push
grapefruit_soda,pull
grapefruit_soda,open
grapefruit_soda,close
grapefruit_soda,stack
grapefruit_soda,stir
water,grasp
water,carry
water,contain
water,liquid-contain
water,enclosed-contain
water,pour
water,drink
water,rotate
water,axis-roll
water,push
water,pull
water,open
water,close
water,stir
sprite,grasp
sprite,carry
sprite,contain
sprite,liquid-contain
sprite,enclosed-contain
sprite,pour
sprite,precise-pour
sprite,drink
sprite,rotate
sprite,axis-roll
sprite,push
sprite,pull
sprite,open
sprite,close
sprite,stir
sprite,drinkable
sprite,consumable
jalapeno_chips,grasp
jalapeno_chips,carry
jalapeno_chips,rotate
jalapeno_chips,push
jalapeno_chips,pull
jalapeno_chips,stack
jalapeno_chips,consumable
