object,affordances
table,assisted-carry
table,rotate
table,push
table,pull
table,support
table,vertical-support
coffee_table,carry
coffee_table,assisted-carry
coffee_table,rotate
coffee_table,push
coffee_table,pull
coffee_table,support
counter,support
counter,stack
counter,vertical-support
fork,grasp
fork,carry
fork,rotate
fork,push
fork,pull
fork,stir
fork,pierce
fork,pick
dinner_knife,grasp
dinner_knife,carry
dinner_knife,cut
dinner_knife,rotate
dinner_knife,push
dinner_knife,pull
dinner_knife,stir
dinner_knife,pierce
spoon,grasp
spoon,carry
spoon,contain
spoon,pour
spoon,rotate
spoon,push
spoon,pull
spoon,stir
spatula,grasp
spatula,carry
spatula,rotate
spatula,push
spatula,pull
spatula,stack
spatula,stir
spatula,heat-resistance
kitchen_knife,grasp
kitchen_knife,carry
kitchen_knife,cut
kitchen_knife,rotate
kitchen_knife,push
kitchen_knife,pull
kitchen_knife,stir
kitchen_knife,pierce
kitchen_knife,pick
scissors,grasp
scissors,carry
scissors,cut
scissors,rotate
scissors,push
scissors,pull
scissors,stir
scissors,pierce
bottle_opener,grasp
bottle_opener,carry
bottle_opener,rotate
bottle_opener,push
bottle_opener,pull
bottle_opener,stir
bottle_opener,pierce
bowl,grasp
bowl,carry
bowl,contain
bowl,liquid-contain
bowl,rotate
bowl,axis-roll
bowl,push
bowl,pull
bowl,stack
bowl,stir
plate,grasp
plate,carry
plate,rotate
plate,axis-roll
plate,push
plate,pull
plate,support
plate,stack
plate,sturdy-support
cutting_board,grasp
cutting_board,carry
cutting_board,rotate
cutting_board,push
cutting_board,pull
cutting_board,support
cutting_board,stack
cutting_board,sturdy-support
coffee_cup,grasp
coffee_cup,carry
coffee_cup,contain
coffee_cup,liquid-contain
coffee_cup,pour
coffee_cup,drink
coffee_cup,rotate
coffee_cup,push
coffee_cup,pull
coffee_cup,open
coffee_cup,close
coffee_cup,scoop
coffee_cup,stir
glass,grasp
glass,carry
glass,contain
glass,liquid-contain
glass,pour
glass,drink
glass,rotate
glass,push
glass,pull
glass,support
glass,stir
wine_glass,grasp
wine_glass,carry
wine_glass,contain
wine_glass,liquid-contain
wine_glass,pour
wine_glass,precise-pour
wine_glass,drink
wine_glass,rotate
wine_glass,push
wine_glass,pull
wine_glass,scoop
wine_glass,stir
plastic_cup,grasp
plastic_cup,carry
plastic_cup,contain
plastic_cup,liquid-contain
plastic_cup,pour
plastic_cup,drink
plastic_cup,rotate
plastic_cup,push
plastic_cup,pull
plastic_cup,stack
plastic_cup,stir
can,grasp
can,carry
can,assisted-carry
can,contain
can,liquid-contain
can,enclosed-contain
can,pour
can,rotate
can,axis-roll
can,push
can,pull
can,open
can,support
can,stack
can,stir
bottle,grasp
bottle,carry
bottle,contain
bottle,liquid-contain
bottle,enclosed-contain
bottle,pour
bottle,drink
bottle,rotate
bottle,axis-roll
bottle,push
bottle,pull
bottle,open
bottle,close
bottle,stir
bucket,grasp
bucket,carry
bucket,contain
bucket,liquid-contain
bucket,rotate
bucket,axis-roll
bucket,push
bucket,pull
bucket,stack
basket,grasp
basket,carry
basket,contain
basket,rotate
basket,push
basket,pull
basket,stack
sink,contain
sink,liquid-contain
sink,close
sink,support
dishwasher,contain
dishwasher,rotate
dishwasher,push
dishwasher,pull
dishwasher,open
dishwasher,close
dishwasher,support
dishwasher,heat
microwave,carry
microwave,assisted-carry
microwave,contain
microwave,rotate
microwave,push
microwave,pull
microwave,open
microwave,close
microwave,vertical-support
microwave,heat
